ID,Group,Statistic,ROI,Test,iDXA BMD (g/cm2)
340,Ctrl,SEM,Spine,Test 3,0.13
341,Ctrl,SEM,Spine,Test 4,0.13
342,Ctrl,SEM,Spine,Post,0.02
343,Exer,Mean,Spine,Pre,1.14
344,Exer,Mean,Spine,Test 1,1.14
345,Exer,Mean,Spine,Test 2,1.15
346,Exer,Mean,Spine,Test 3,1.16
347,Exer,Mean,Spine,Test 4,1.16
348,Exer,Mean,Spine,Post,1.15
349,Exer,SD,Spine,Pre,0.13
350,Exer,SD,Spine,Test 1,0.13
351,Exer,SD,Spine,Test 2,0.14
352,Exer,SD,Spine,Test 3,0.30
353,Exer,SD,Spine,Test 4,0.29
354,Exer,SD,Spine,Post,0.13
355,Exer,SEM,Spine,Pre,0.03
356,Exer,SEM,Spine,Test 1,0.03
357,Exer,SEM,Spine,Test 2,0.03
358,Exer,SEM,Spine,Test 3,0.07
359,Exer,SEM,Spine,Test 4,0.07
360,Exer,SEM,Spine,Post,0.03
361,FLY,Mean,Spine,Pre,1.21
362,FLY,Mean,Spine,Test 1,1.21
363,FLY,Mean,Spine,Test 2,1.23
364,FLY,Mean,Spine,Test 3,1.23
365,FLY,Mean,Spine,Test 4,1.24
366,FLY,Mean,Spine,Post,1.23
367,FLY,SD,Spine,Pre,0.17
368,FLY,SD,Spine,Test 1,0.18
369,FLY,SD,Spine,Test 2,0.17
370,FLY,SD,Spine,Test 3,0.18
371,FLY,SD,Spine,Test 4,0.17
372,FLY,SD,Spine,Post,0.17
373,FLY,SEM,Spine,Pre,0.06
374,FLY,SEM,Spine,Test 1,0.06
375,FLY,SEM,Spine,Test 2,0.06
376,FLY,SEM,Spine,Test 3,0.06
377,FLY,SEM,Spine,Test 4,0.06
378,FLY,SEM,Spine,Post,0.06
379,Ctrl,Mean,Total,Pre,1.24
380,Ctrl,Mean,Total,Test 1,1.23
381,Ctrl,Mean,Total,Test 2,1.23
382,Ctrl,Mean,Total,Test 3,1.22
383,Ctrl,Mean,Total,Test 4,1.22
384,Ctrl,Mean,Total,Post,1.23
385,Ctrl,SD,Total,Pre,0.11
386,Ctrl,SD,Total,Test 1,0.51
387,Ctrl,SD,Total,Test 2,0.50
388,Ctrl,SD,Total,Test 3,0.50
389,Ctrl,SD,Total,Test 4,0.50
390,Ctrl,SD,Total,Post,0.09
391,Ctrl,SEM,Total,Pre,0.03
392,Ctrl,SEM,Total,Test 1,0.15
393,Ctrl,SEM,Total,Test 2,0.15
394,Ctrl,SEM,Total,Test 3,0.15
395,Ctrl,SEM,Total,Test 4,0.15
396,Ctrl,SEM,Total,Post,0.03
397,Exer,Mean,Total,Pre,1.29
398,Exer,Mean,Total,Test 1,1.29
399,Exer,Mean,Total,Test 2,1.29
400,Exer,Mean,Total,Test 3,1.29
401,Exer,Mean,Total,Test 4,1.30
402,Exer,Mean,Total,Post,1.28
403,Exer,SD,Total,Pre,0.11
404,Exer,SD,Total,Test 1,0.12
405,Exer,SD,Total,Test 2,0.12
406,Exer,SD,Total,Test 3,0.32
407,Exer,SD,Total,Test 4,0.31
408,Exer,SD,Total,Post,0.10
409,Exer,SEM,Total,Pre,0.03
410,Exer,SEM,Total,Test 1,0.03
411,Exer,SEM,Total,Test 2,0.03
412,Exer,SEM,Total,Test 3,0.07
413,Exer,SEM,Total,Test 4,0.07
414,Exer,SEM,Total,Post,0.02
415,FLY,Mean,Total,Pre,1.36
416,FLY,Mean,Total,Test 1,1.37
417,FLY,Mean,Total,Test 2,1.36
418,FLY,Mean,Total,Test 3,1.37
419,FLY,Mean,Total,Test 4,1.37
420,FLY,Mean,Total,Post,1.36
421,FLY,SD,Total,Pre,0.17
422,FLY,SD,Total,Test 1,0.17
423,FLY,SD,Total,Test 2,0.17
424,FLY,SD,Total,Test 3,0.17
425,FLY,SD,Total,Test 4,0.18
426,FLY,SD,Total,Post,0.17
427,FLY,SEM,Total,Pre,0.06
428,FLY,SEM,Total,Test 1,0.06
429,FLY,SEM,Total,Test 2,0.06
430,FLY,SEM,Total,Test 3,0.06
431,FLY,SEM,Total,Test 4,0.06
432,FLY,SEM,Total,Post,0.06
